Colonnes,NaNs,Pourcentage
IncidentNumber,0,0.00%
CalYear,0,0.00%
BoroughName,2507,0.38%
WardName,3102,0.47%
HourOfCall,0,0.00%
ResourceMobilisationId,0,0.00%
Resource_Code,0,0.00%
PerformanceReporting,0,0.00%
DateAndTimeMobilised,0,0.00%
DateAndTimeMobile,2893,0.44%
DateAndTimeArrived,0,0.00%
TurnoutTimeSeconds,2912,0.44%
TravelTimeSeconds,2913,0.44%
AttendanceTimeSeconds,0,0.00%
DateAndTimeLeft,252,0.04%
DateAndTimeReturned,659200,100.00%
DeployedFromStation_Code,4,0.00%
DeployedFromStation_Name,4,0.00%
DeployedFromLocation,461,0.07%
PumpOrder,0,0.00%
PlusCode_Code,0,0.00%
PlusCode_Description,0,0.00%
DelayCodeId,494722,75.05%
DelayCode_Description,494722,75.05%
